UniqueCount	AmbigCount
0	7
0	0
1	1612
1	3
0	10
0	0
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
1	73
0	8
0	10
0	21
0	7
0	42
36	57
12	570
4	179
0	39
144	66
0	39
2	265
2	22
0	0
0	1
0	0
30	1927
0	106
0	150
0	124
0	129
0	78
17	68
0	62
0	7
0	6
0	7
0	3
0	39
0	3
0	10
1	116
4	44
0	8
0	13
9	209
0	1063
0	805
0	670
0	485
0	601
2	475
3	134
0	501
0	508
6	40
0	86
0	20
17	36
1	83
0	117
4	68
0	0
0	0
0	24
0	898
0	11
0	6
0	13
0	263
1	1606
5	58
0	9
0	9
0	289
0	11
0	0
0	12
0	152
0	9
0	14
0	5
0	4
59	15043
2958	63804
87	161200
0	8868
32	62052
10	1737
3690	61847
51	46038
0	0
0	27
122	3849
0	81
0	0
0	1
1	38
0	31
0	43
0	39
0	6
0	7
1	7
0	15
0	1
2	1
0	8
0	10
2	10
0	10
0	11
3	9
0	12
2	72
0	4
0	2
0	26
5	37
0	20
1	21
0	12
0	8
156	96
0	10
0	9
0	16
0	9
0	8
0	97
0	20
0	69
0	14
2	8
2	3
0	13
14	26
1	27
0	15
0	20
0	40
0	0
0	0
1	37
0	3
0	0
0	0
0	0
0	0
0	0
0	278
0	284
0	284
0	284
0	284
0	284
0	284
0	284
0	284
0	278
0	4
0	0
0	2
0	0
0	1
13	1018
13	2072
16	2009
0	0
0	376
16	107
32	187
0	176
25	55
4	69
5	17
25	768
14	767
2	657
4	63
0	288
25	406
0	402
1	406
14	0
0	131
6	129
13	118
0	93
0	23893
0	20556
48	26054
0	26054
0	242
1	0
12	522
0	522
1	1
0	18
5	26
0	21
0	8
2	35
0	53
48	161
0	35
4	123
2	74
0	123
32	13
3	103
0	75
40	9
2	35
0	224
1	196
0	214
0	213
29	197
4	227
0	209
0	60
1	161
0	89
0	56
0	58
0	28
0	21
0	20
0	16
0	6
0	7
0	7
7	10
0	0
0	0
0	0
0	0
2	0
2	45
0	44
0	0
0	0
0	0
0	0
0	0
0	0
0	31
2	52
0	30
1	25
11	178
17	177
0	71
0	2037
0	1971
0	1990
59	1246
7	1141
0	680
0	482
2	342
0	342
4	8
2	3
0	5
0	6
2	2
7	4
0	1057
0	1056
0	1052
0	807
0	896
0	777
0	837
8	234
0	786
0	715
0	386
0	374
0	467
0	416
2	404
4	123
0	258
1	227
5	228
9	76
0	2
5	1
0	55
0	42
4	51
0	50
0	6
0	51
0	1
0	25
3	387
6	373
2	257
0	222
2	24
1	35
0	52
1	23
22	85
0	48
5	23
0	18
0	3
0	0
1	121
4	51
0	34
0	62
0	82
0	1072
0	1658
0	1653
0	1190
0	1189
0	1703
0	407
0	1434
0	1190
50	1157
2	989
0	1156
0	1651
0	1278
2	1159
0	1559
0	1559
0	516
0	369
3	332
0	1289
0	356
0	568
0	546
0	373
0	467
0	866
0	181
1	247
0	714
0	520
1	433
0	618
0	567
0	564
0	77
1	57
0	385
0	537
0	498
4	372
0	447
0	453
0	375
0	335
0	374
0	353
0	128
0	129
0	28
0	0
9	0
0	246
317	284
0	77
7	0
0	566
1	573
0	462
0	166
0	175
6	74
0	44
3	72
0	0
0	23
1	31
0	38
3	36
2	38
0	10
0	9
2	11
0	5
3	3
0	1215
54	1180
0	1184
0	1195
11	313
1	81
1	0
35	863
2	937
6	631
12	1095
0	1489
0	1060
0	795
0	1305
0	1174
0	650
0	827
0	294
0	272
2	209
0	297
0	327
12	100
1	219
1	68
0	129
0	148
0	325
5	306
0	53
0	46
0	295
2	319
0	141
0	894
1	438
50	806
28	300
5	503
0	356
0	3
72	342
0	76
0	76
0	82
0	16
0	7
0	1
0	0
4	22
6	22
1	23
0	29
11	50
3	274
3	318
0	25
26	261
0	25
0	2
36	796
39	740
1	175
25	445
25	375
0	33
0	31
2	1003
0	986
0	933
0	933
0	135
0	178
2	219
0	1
0	1
0	0
89	1723
4	1159
0	772
174	530
0	247
5	455
0	0
45	0
29	9
0	252
0	252
0	244
0	255
18	256
0	250
0	254
2	210
0	12
0	237
0	14
0	213
0	11
0	3
0	14
0	252
1	113
0	10
0	241
2	221
1	9
0	5
0	235
2	27
1	15
0	9
0	31
0	96
0	69
9	143
0	100
1	80
0	7
0	3
1	6
1	6
0	5
0	2
0	2
0	2
0	2
0	1
97	2451
0	2441
0	2159
0	2352
0	2276
1	2073
2	2072
0	2072
0	620
0	47
1	153
1	1339
0	1326
2	621
3	262
5	8
2	13
0	6
0	1785
0	663
3	1598
0	1733
0	1679
0	1799
0	1708
0	1777
0	1800
0	1790
22	375
0	512
0	132
0	67
0	385
0	85
0	117
0	381
0	350
4	287
1	107
0	76
3	75
25	1744
1	1
